"","Data Source","World Development Indicators","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65"
"1","Last Updated Date","44497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,"Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"4","Aruba","ABW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Africa Eastern and Southern","AFE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.828240252897791","12.784909614880805","12.515151515151519","14.800360252176528","15.426997245179061","16.657824933687003","16.674733785091966","17.383292383292385","19.305943358595936","19.772545889864325","20.226308345120231","21.444201312910288","22.380860505498742","22.642244738893218","25.246212121212121","25.022277668864731","25.915055248618785","25.746907706945766","28.149710068529256","28.989169675090253","28.705922629236579","28.771570134973533","29.274563820018383","30.128447298828874"
"6","Afghanistan","AFG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.309236947791199","27.309236947791199","27.6859504132231","27.6859504132231","27.309236947791199","27.710843373494001","27.710843373494001","27.710843373494001","27.710843373494001","27.710843373494001","27.710843373494001","27.710843373494001","27.710843373494001",NA,"27.868852459016399","27.0161290322581"
"7","Africa Western and Central","AFW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8151447661469922","7.3958738808875077","7.9430670339761278","8.9569600620395562","10.068567304222308","10.707869205892928","11.184439041333803","12.309820193637629","11.203170028818453","11.143166245943027","11.203007518797","11.859086152772935","13.643235071806497","14.70588235294117","15.61415683553088","15.084915084915085","14.84375","15.279106858054217","15.318471337579613","15.398773006134963","16.345270890725438"
"8","Angola","AGO","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.5454545454545503","15.454545454545499","15.454545454545499","15.454545454545499","15.454545454545499","15.454545454545499","15.454545454545499","15","15","15","15","37.272727272727302","38.636363636363598","38.636363636363598","38.181818181818201","34.090909090909101","34.090909090909101","36.818181818181799","36.818181818181799","36.818181818181799","30.454545454545499","30.454545454545499","30","30"
"9","Albania","ALB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.1612903225806503","5.1612903225806503","5.71428571428571","5.71428571428571","5.71428571428571","6.4285714285714297","7.1428571428571397","7.1428571428571397","7.1428571428571397","7.1428571428571397","16.428571428571399","16.428571428571399","15.714285714285699","15.714285714285699","17.8571428571429","20","20.714285714285701","22.8571428571429","27.8571428571429","27.8571428571429","29.508196721311499","29.508196721311499"
"10","Andorra","AND","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1428571428571397","7.1428571428571397","7.1428571428571397","7.1428571428571397","14.285714285714301","14.285714285714301","14.285714285714301","14.285714285714301","28.571428571428601","28.571428571428601","28.571428571428601","25","35.714285714285701","35.714285714285701","50","50","50","50","39.285714285714299","32.142857142857103","32.142857142857103","32.142857142857103","46.428571428571402","46.428571428571402"
"11","Arab World","ARB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.7471612414837252","3.4574468085106389","3.6167756829549806","3.7706810311658301","4.6212647671994409","6.1309317630758571","6.0481099656357387","6.6930431915595197","7.0367664962259644","9.34959349593497","9.7537652402581969","9.8015778149653432","9.9023090586145663","11.919671777153958","11.328502415458933","14.872042491549971","17.36930860033727","17.793401838831802","18.779840848806359","19.275613991565368","18.884021212819935","19.060773480662998","17.566539923954391","19.546958513616712"
"12","United Arab Emirates","ARE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","5","22.5","22.5","22.5","22.5","17.5","17.5","17.5","17.5","22.5","22.5","22.5","22.5","50","50"
"13","Argentina","ARG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.626459143968901","27.626459143968901",NA,"26.459143968871601",NA,"30.7392996108949","30.7392996108949","33.725490196078397","36.186770428015599","35.019455252918299","40","40","38.521400778210101","38.521400778210101","37.3540856031128","37.3540856031128","36.5758754863813","36.5758754863813",NA,"35.797665369649799","38.1322957198444","38.910505836575901","40.157480314960601","40.856031128404702"
"14","Armenia","ARM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3157894736842097","6.3157894736842097","3.0534351145038201","3.0534351145038201","3.0534351145038201","3.0534351145038201","4.5801526717557204","5.3435114503816799","5.3435114503816799","5.3435114503816799","9.1603053435114496","8.3969465648855","9.1603053435114496","9.1603053435114496","8.3969465648855","10.687022900763401","10.687022900763401","10.687022900763401","10.687022900763401","10.687022900763401","18.095238095238098","18.095238095238098","23.484848484848499","23.484848484848499"
"15","American Samoa","ASM","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Antigua and Barbuda","ATG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.2631578947368398","5.2631578947368398",NA,"5.2631578947368398","5.2631578947368398","5.2631578947368398","5.2631578947368398","10.526315789473699","10.526315789473699","10.526315789473699","10.526315789473699","10.526315789473699","10.526315789473699","10.526315789473699","10.526315789473699","10.526315789473699","10.526315789473699","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111"
"17","Australia","AUS","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.540540540540499","15.540540540540499","22.4489795918367","22.972972972973",NA,"25.3333333333333","25.3333333333333","24.6666666666667","24.6666666666667","24.6666666666667","26.6666666666667","26.6666666666667","27.3333333333333","24.6666666666667","24.6666666666667","24.6666666666667","26","26","26.6666666666667","28.6666666666667","28.6666666666667","28.6666666666667","30.463576158940398","30.463576158940398"
"18","Austria","AUT","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.229508196721302","26.229508196721302",NA,"26.775956284153001","26.775956284153001",NA,"33.879781420764999","33.879781420764999","33.879781420764999","32.240437158469902","32.786885245901601","27.3224043715847","27.868852459016399","27.868852459016399","27.868852459016399","27.868852459016399","33.3333333333333","32.240437158469902","30.601092896174901","30.601092896174901","34.426229508196698","34.426229508196698","39.344262295081997","39.344262295081997"
